CATEGORY
PLU SOFT DRINKS
INSTANT COFFEE
TEA - BAGS_LOOSE
GROUND COFFEE
INSTANT TEA MIXES
FLAVORED HOT DRINK MIXES
SINGLE CUP TEA
CHOCOLATE MILK FLAVORING
NON CHOCOLATE MILK FLAVORING MIXES
ICE CREAM
FZ YOGURT_TOFU
FZ COOKIE DOUGH
FZ NOVELTIES
ICE MLK_FZ DAIRY DESSERT
FZ ICE CREAM_ICE MILK DESSERTS
SHERBET_SORBET_ICES
OLIVE OIL
DRY SOUP
NON CHOCOLATE CHEWY CANDY
SPECIALTY NUT_COCONUT CANDY
CHOCOLATE CANDY BOX_BAG_BAR > 3.5OZ
MAYONNAISE_SANDWICH SPREAD
BARBEQUE SAUCE
SS POURABLE SALAD DRESSINGS
MUSTARD
DIP - SS
KETCHUP
MEAT SAUCE_MARINADE_GLAZE
TARTAR SAUCE
DRY SAUCE MIXES
HORSERADISH_HORSERADISH SAUCE
SPICE_SEASONING - NO SALT_PEPPER
DRY MEAT_SEAFOOD SEASONING MIXES
CAKE_CUPCAKE_PIE MIXES
SOY SAUCE
ALL OTHER SS ASIAN SAUCE_MARINADE
ALL OTHER DRY SEASONING MIXES
COOKING STARCHES_RENNET
PREPARED GELATIN
PUDDING_PIE FILLING_MOUSSE MIXES
GELATIN DESSERT MIXES
SPAGHETTI_ITALIAN SAUCE
DRY RICE
BREAKFAST_CEREAL_SNACK BARS
HOT_CAJUN SAUCE
CHOCOLATE CANDY BOX_BAG_BAR < 3.5OZ
DRY SALAD_SIDE DISH MIXES
DRY RICE MIXES
BOUILLON
DRY DINNER MIXES _ADD MEAT_
DRY GRAVY MIXES
WET BROTH_STOCK
READY TO SERVE RICE
DRY BROTH_STOCK
SS INSTANT POTATOES
RTS WET SOUP
CONDENSED WET SOUP
DRY MACARONI & CHEESE MIXES
SALAD DRESSING MIXES
POTATO PANCAKE_DUMPLING MIXES
ALL OTHER BAKING MIXES
LIQUID GRAVY
REFRIED BEANS
TOMATO SAUCE
SS MICROWAVEABLE PACKAGE DINNER
SS PREPARED DINNERS_ENTREES
TUNA
RAMEN
SALSA
PICKLES
VINEGAR
DRY_RFG YEAST
CHUTNEY
NOODLES
FLOUR
SS HONEY
KETCHUP_MUSTARD COMBINATIONS
MARGARINE_SPREADS
RFG PREPARED SALAD_FRUIT_COLESLAW
